date,elec1,gas
2014-01-31,48391.400000000016,81691.66600000013
2014-02-28,45412.29999999997,72194.72900000014
2014-03-31,48122.50000000003,40232.77800000007
2014-04-30,47192.600000000006,3160.1769999999988
2014-05-31,46495.19999999997,33779.74600000011
2014-06-30,43324.29999999989,36937.472999999976
2014-07-31,45396.700000000084,37554.847000000045
2014-08-31,39566.599999999955,37749.50099999995
2014-09-30,40850.700000000026,43821.693000000036
2014-10-31,40724.80000000002,51930.78299999999
2014-11-30,36016.20000000001,59074.024999999914
2014-12-31,41411.00000000007,88714.31200000027
