date,elec1,elec2,elec3,gas
2014-01-01 00:30:00,1.3,20.6,12.2,0.0
2014-01-01 01:00:00,1.2,20.4,12.5,0.0
2014-01-01 01:30:00,1.3,20.5,12.3,0.0
2014-01-01 02:00:00,1.3,20.7,12.0,0.0
2014-01-01 02:30:00,1.3,20.6,12.4,0.0
2014-01-01 03:00:00,1.3,20.3,12.7,0.0
2014-01-01 03:30:00,1.3,20.4,12.6,0.0
2014-01-01 04:00:00,1.3,20.7,12.4,0.0
2014-01-01 04:30:00,1.3,20.4,13.0,0.0
2014-01-01 05:00:00,1.3,20.6,12.7,0.0
2014-01-01 05:30:00,1.3,27.7,12.1,0.0
2014-01-01 06:00:00,2.1,40.4,13.7,0.0
2014-01-01 06:30:00,20.4,40.6,12.9,0.0
2014-01-01 07:00:00,22.0,41.2,13.3,0.0
2014-01-01 07:30:00,86.0,41.8,15.8,0.0
2014-01-01 08:00:00,61.8,42.1,15.9,0.0
2014-01-01 08:30:00,51.7,42.2,15.9,0.0
2014-01-01 09:00:00,36.5,42.3,15.8,0.0
2014-01-01 09:30:00,31.4,42.9,15.9,0.0
2014-01-01 10:00:00,34.2,42.6,16.0,0.0
2014-01-01 10:30:00,32.5,42.2,15.5,0.0
2014-01-01 11:00:00,29.2,42.4,15.6,0.0
2014-01-01 11:30:00,28.6,42.0,15.7,0.0
2014-01-01 12:00:00,31.0,42.6,16.3,0.0
2014-01-01 12:30:00,29.7,43.8,17.5,0.0
2014-01-01 13:00:00,29.4,43.4,16.7,0.0
2014-01-01 13:30:00,26.1,43.0,16.5,0.0
2014-01-01 14:00:00,24.4,43.2,17.5,0.0
2014-01-01 14:30:00,23.9,43.2,17.0,0.0
2014-01-01 15:00:00,26.7,42.9,16.5,0.0
2014-01-01 15:30:00,24.8,43.2,16.8,0.0
2014-01-01 16:00:00,26.2,43.3,16.9,0.0
2014-01-01 16:30:00,24.9,43.4,16.6,0.0
2014-01-01 17:00:00,23.2,43.1,16.3,0.0
2014-01-01 17:30:00,23.7,42.9,16.8,0.0
2014-01-01 18:00:00,23.7,43.6,16.4,0.0
2014-01-01 18:30:00,20.1,43.0,15.3,0.0
2014-01-01 19:00:00,6.1,41.9,13.2,0.0
2014-01-01 19:30:00,4.7,37.8,13.1,0.0
2014-01-01 20:00:00,4.9,32.6,13.8,0.0
2014-01-01 20:30:00,4.9,27.9,13.8,0.0
2014-01-01 21:00:00,4.4,22.2,13.1,0.0
2014-01-01 21:30:00,1.3,20.7,12.4,0.0
2014-01-01 22:00:00,1.3,20.3,12.1,0.0
2014-01-01 22:30:00,1.3,20.3,12.1,0.0
2014-01-01 23:00:00,1.3,20.5,12.0,0.0
2014-01-01 23:30:00,1.4,20.6,12.0,0.0
2014-01-02 00:00:00,1.3,20.6,11.9,0.0
2014-01-02 00:30:00,1.4,20.7,12.3,0.0
2014-01-02 01:00:00,1.3,20.6,12.3,0.0
2014-01-02 01:30:00,1.3,20.5,11.9,0.0
2014-01-02 02:00:00,1.4,20.4,12.3,0.0
2014-01-02 02:30:00,1.3,20.6,12.2,0.0
2014-01-02 03:00:00,1.4,20.3,12.0,0.0
2014-01-02 03:30:00,1.2,20.0,12.3,0.0
2014-01-02 04:00:00,1.4,20.2,11.8,0.0
2014-01-02 04:30:00,1.3,20.1,12.2,0.0
2014-01-02 05:00:00,1.3,20.2,12.3,0.0
2014-01-02 05:30:00,1.4,27.5,12.1,0.0
2014-01-02 06:00:00,2.1,40.1,13.9,0.0
2014-01-02 06:30:00,16.0,41.0,13.9,0.0
2014-01-02 07:00:00,22.1,43.7,26.1,0.0
2014-01-02 07:30:00,77.2,46.4,30.8,0.0
2014-01-02 08:00:00,61.4,47.1,35.8,0.0
2014-01-02 08:30:00,42.6,46.9,42.6,0.0
2014-01-02 09:00:00,34.1,47.5,48.3,0.0
2014-01-02 09:30:00,27.7,49.5,52.7,0.0
2014-01-02 10:00:00,24.5,49.3,54.0,0.0
2014-01-02 10:30:00,27.7,49.0,55.1,0.0
2014-01-02 11:00:00,24.0,47.2,55.7,0.0
2014-01-02 11:30:00,25.1,44.8,55.1,0.0
2014-01-02 12:00:00,24.5,44.9,54.9,0.0
2014-01-02 12:30:00,25.7,44.9,56.3,0.0
2014-01-02 13:00:00,22.5,44.8,55.4,0.0
2014-01-02 13:30:00,22.2,45.6,56.8,0.0
2014-01-02 14:00:00,20.1,45.6,55.1,0.0
2014-01-02 14:30:00,19.6,44.5,54.0,0.0
2014-01-02 15:00:00,21.3,44.4,55.7,0.0
2014-01-02 15:30:00,19.4,44.1,54.2,0.0
2014-01-02 16:00:00,18.6,44.2,55.3,0.0
2014-01-02 16:30:00,21.5,44.9,55.0,0.0
2014-01-02 17:00:00,20.0,44.8,53.2,0.0
2014-01-02 17:30:00,20.4,46.1,51.1,0.0
2014-01-02 18:00:00,20.4,44.6,48.6,0.0
2014-01-02 18:30:00,17.6,44.7,44.3,0.0
2014-01-02 19:00:00,6.6,43.0,35.8,0.0
2014-01-02 19:30:00,5.1,37.0,18.6,0.0
2014-01-02 20:00:00,4.5,30.3,13.9,0.0
2014-01-02 20:30:00,4.1,26.0,12.7,0.0
2014-01-02 21:00:00,3.8,19.9,14.8,0.0
2014-01-02 21:30:00,1.3,18.3,14.3,0.0
2014-01-02 22:00:00,1.3,18.3,12.5,0.0
2014-01-02 22:30:00,1.3,18.3,12.3,0.0
2014-01-02 23:00:00,1.4,18.3,12.7,0.0
2014-01-02 23:30:00,1.3,18.4,12.6,0.0
2014-01-03 00:00:00,1.4,18.5,12.3,0.0
2014-01-03 00:30:00,1.3,18.4,12.2,0.0
2014-01-03 01:00:00,1.3,18.0,12.7,0.0
2014-01-03 01:30:00,1.4,17.4,13.2,0.0
2014-01-03 02:00:00,1.3,17.3,12.6,0.0
2014-01-03 02:30:00,1.3,17.4,12.4,0.0
2014-01-03 03:00:00,1.4,17.5,12.3,0.0
2014-01-03 03:30:00,1.3,17.5,12.7,0.0
2014-01-03 04:00:00,1.3,17.3,12.3,0.0
2014-01-03 04:30:00,1.3,17.1,12.7,0.0
2014-01-03 05:00:00,1.3,17.1,12.5,0.0
2014-01-03 05:30:00,1.3,24.2,12.2,0.0
2014-01-03 06:00:00,2.1,36.9,14.4,0.0
2014-01-03 06:30:00,19.7,37.7,13.8,0.0
2014-01-03 07:00:00,20.5,39.8,20.1,0.0
2014-01-03 07:30:00,101.9,53.7,30.6,0.0
2014-01-03 08:00:00,77.5,57.0,33.0,0.0
2014-01-03 08:30:00,50.2,57.0,41.6,0.0
2014-01-03 09:00:00,46.1,57.6,48.7,0.0
2014-01-03 09:30:00,43.6,57.5,53.0,0.0
2014-01-03 10:00:00,42.8,58.5,55.4,0.0
2014-01-03 10:30:00,39.0,57.8,56.9,0.0
2014-01-03 11:00:00,45.5,57.5,58.2,0.0
2014-01-03 11:30:00,40.1,57.9,60.4,0.0
2014-01-03 12:00:00,38.6,58.3,58.0,0.0
2014-01-03 12:30:00,36.2,58.2,57.9,0.0
2014-01-03 13:00:00,34.1,57.6,59.2,0.0
2014-01-03 13:30:00,36.2,58.7,58.9,0.0
2014-01-03 14:00:00,31.7,59.1,57.4,0.0
2014-01-03 14:30:00,36.7,57.8,56.1,0.0
2014-01-03 15:00:00,33.9,58.3,56.0,0.0
2014-01-03 15:30:00,32.8,58.2,54.7,0.0
2014-01-03 16:00:00,31.9,58.6,54.4,0.0
2014-01-03 16:30:00,34.0,58.2,54.2,0.0
2014-01-03 17:00:00,33.7,58.9,53.0,0.0
2014-01-03 17:30:00,33.6,58.0,50.2,0.0
2014-01-03 18:00:00,31.1,58.3,47.5,0.0
2014-01-03 18:30:00,29.3,56.4,41.0,0.0
2014-01-03 19:00:00,19.1,55.4,33.0,0.0
2014-01-03 19:30:00,16.3,50.3,17.5,0.0
2014-01-03 20:00:00,12.9,44.2,14.5,0.0
2014-01-03 20:30:00,12.0,40.0,15.1,0.0
2014-01-03 21:00:00,9.9,33.6,13.6,0.0
2014-01-03 21:30:00,6.7,32.0,16.2,0.0
2014-01-03 22:00:00,6.7,31.8,11.5,0.0
2014-01-03 22:30:00,8.0,32.1,11.2,0.0
2014-01-03 23:00:00,9.3,32.2,11.1,0.0
2014-01-03 23:30:00,9.3,32.1,11.1,0.0
2014-01-04 00:00:00,6.6,31.9,11.1,0.0
2014-01-04 00:30:00,7.2,38.2,11.1,0.0
2014-01-04 01:00:00,19.5,32.6,11.2,0.0
2014-01-04 01:30:00,7.4,31.8,11.5,0.0
2014-01-04 02:00:00,12.8,36.0,11.0,0.0
2014-01-04 02:30:00,6.8,32.6,11.1,0.0
2014-01-04 03:00:00,12.7,34.2,11.6,0.0
2014-01-04 03:30:00,7.5,36.5,11.9,0.0
2014-01-04 04:00:00,10.1,31.4,11.0,0.0
2014-01-04 04:30:00,10.3,37.4,11.1,0.0
2014-01-04 05:00:00,8.0,31.0,10.9,0.0
2014-01-04 05:30:00,12.1,37.4,11.4,0.0
2014-01-04 06:00:00,6.5,34.6,12.4,0.0
2014-01-04 06:30:00,13.4,40.7,11.3,0.0
2014-01-04 07:00:00,6.4,36.0,11.1,0.0
2014-01-04 07:30:00,13.3,37.5,11.5,0.0
2014-01-04 08:00:00,6.7,40.5,11.5,0.0
2014-01-04 08:30:00,9.8,34.5,11.6,0.0
2014-01-04 09:00:00,10.0,40.0,11.5,0.0
2014-01-04 09:30:00,6.7,36.1,11.2,0.0
2014-01-04 10:00:00,13.4,38.1,11.1,0.0
2014-01-04 10:30:00,7.1,39.2,11.3,0.0
2014-01-04 11:00:00,13.6,36.1,11.1,0.0
2014-01-04 11:30:00,7.1,40.2,11.4,0.0
2014-01-04 12:00:00,11.8,34.2,11.2,0.0
2014-01-04 12:30:00,8.8,41.9,11.3,0.0
2014-01-04 13:00:00,8.8,34.0,11.1,0.0
2014-01-04 13:30:00,11.1,41.0,11.2,0.0
2014-01-04 14:00:00,7.2,33.9,11.4,0.0
2014-01-04 14:30:00,12.5,38.5,11.6,0.0
2014-01-04 15:00:00,7.4,41.1,11.8,0.0
2014-01-04 15:30:00,10.4,34.9,11.3,0.0
2014-01-04 16:00:00,10.4,40.6,11.1,0.0
2014-01-04 16:30:00,13.2,42.0,11.3,0.0
2014-01-04 17:00:00,6.3,39.4,11.2,0.0
2014-01-04 17:30:00,13.3,39.7,11.2,0.0
2014-01-04 18:00:00,8.4,43.3,11.5,0.0
2014-01-04 18:30:00,9.4,37.4,10.9,0.0
2014-01-04 19:00:00,10.3,35.7,11.0,0.0
2014-01-04 19:30:00,7.6,35.0,11.1,0.0
2014-01-04 20:00:00,6.2,34.7,11.1,0.0
2014-01-04 20:30:00,6.4,34.7,11.1,0.0
2014-01-04 21:00:00,6.7,33.7,11.1,0.0
2014-01-04 21:30:00,8.5,32.2,11.5,0.0
2014-01-04 22:00:00,8.6,32.4,11.3,0.0
2014-01-04 22:30:00,8.1,32.3,11.5,0.0
2014-01-04 23:00:00,6.3,32.1,11.5,0.0
2014-01-04 23:30:00,6.3,31.9,10.9,0.0
2014-01-05 00:00:00,6.5,31.2,11.1,0.0
2014-01-05 00:30:00,13.7,31.6,11.2,0.0
2014-01-05 01:00:00,9.3,31.3,10.9,0.0
2014-01-05 01:30:00,8.8,31.3,11.1,0.0
2014-01-05 02:00:00,7.8,31.2,11.3,0.0
2014-01-05 02:30:00,6.1,31.2,11.5,0.0
2014-01-05 03:00:00,6.3,31.3,11.2,0.0
