date,elec1,elec2,gas
2014-01-01 00:30:00,9.9,14.55,0.0
2014-01-01 01:00:00,9.5,14.6,0.0
2014-01-01 01:30:00,9.65,15.2,0.0
2014-01-01 02:00:00,8.85,15.0,0.0
2014-01-01 02:30:00,9.05,14.6,0.0
2014-01-01 03:00:00,9.3,14.55,0.0
2014-01-01 03:30:00,9.5,15.05,0.0
2014-01-01 04:00:00,9.1,14.65,0.0
2014-01-01 04:30:00,9.25,13.9,0.0
2014-01-01 05:00:00,9.3,14.95,0.0
2014-01-01 05:30:00,9.95,14.75,0.0
2014-01-01 06:00:00,8.15,14.6,0.0
2014-01-01 06:30:00,8.55,22.5,0.0
2014-01-01 07:00:00,13.05,25.3,0.0
2014-01-01 07:30:00,19.65,25.85,0.0
2014-01-01 08:00:00,20.55,26.35,0.0
2014-01-01 08:30:00,23.75,26.85,0.0
2014-01-01 09:00:00,22.3,25.8,0.0
2014-01-01 09:30:00,21.05,27.3,0.0
2014-01-01 10:00:00,20.15,23.3,0.0
2014-01-01 10:30:00,19.05,19.2,0.0
2014-01-01 11:00:00,19.2,20.6,0.0
2014-01-01 11:30:00,19.45,18.85,0.0
2014-01-01 12:00:00,19.1,19.65,0.0
2014-01-01 12:30:00,18.95,19.65,0.0
2014-01-01 13:00:00,18.0,18.8,0.0
2014-01-01 13:30:00,18.2,18.5,0.0
2014-01-01 14:00:00,18.35,19.9,0.0
2014-01-01 14:30:00,18.0,18.7,0.0
2014-01-01 15:00:00,17.45,18.5,0.0
2014-01-01 15:30:00,16.55,18.7,0.0
2014-01-01 16:00:00,15.8,18.6,0.0
2014-01-01 16:30:00,15.85,19.4,0.0
2014-01-01 17:00:00,16.1,18.45,0.0
2014-01-01 17:30:00,15.0,18.95,0.0
2014-01-01 18:00:00,13.4,19.35,0.0
2014-01-01 18:30:00,15.05,18.8,0.0
2014-01-01 19:00:00,13.75,15.05,0.0
2014-01-01 19:30:00,6.65,13.9,0.0
2014-01-01 20:00:00,6.55,13.65,0.0
2014-01-01 20:30:00,6.9,13.7,0.0
2014-01-01 21:00:00,6.55,14.0,0.0
2014-01-01 21:30:00,5.9,14.45,0.0
2014-01-01 22:00:00,5.75,14.2,0.0
2014-01-01 22:30:00,5.7,13.3,0.0
2014-01-01 23:00:00,5.85,14.2,0.0
2014-01-01 23:30:00,5.75,14.1,0.0
2014-01-02 00:00:00,6.45,14.4,0.0
2014-01-02 00:30:00,8.9,14.0,0.0
2014-01-02 01:00:00,8.45,13.9,0.0
2014-01-02 01:30:00,7.1,14.05,0.0
2014-01-02 02:00:00,7.7,14.05,0.0
2014-01-02 02:30:00,7.1,14.2,0.0
2014-01-02 03:00:00,6.9,14.15,0.0
2014-01-02 03:30:00,7.25,14.0,0.0
2014-01-02 04:00:00,7.25,13.9,0.0
2014-01-02 04:30:00,7.25,14.0,0.0
2014-01-02 05:00:00,7.5,13.85,0.0
2014-01-02 05:30:00,7.5,14.1,0.0
2014-01-02 06:00:00,7.7,14.25,0.0
2014-01-02 06:30:00,8.55,23.0,0.0
2014-01-02 07:00:00,13.25,25.3,0.0
2014-01-02 07:30:00,20.1,27.05,0.0
2014-01-02 08:00:00,19.95,28.7,0.0
2014-01-02 08:30:00,24.25,30.3,0.0
2014-01-02 09:00:00,23.95,31.85,0.0
2014-01-02 09:30:00,23.9,33.75,0.0
2014-01-02 10:00:00,24.75,35.35,0.0
2014-01-02 10:30:00,23.0,35.75,0.0
2014-01-02 11:00:00,23.2,36.0,0.0
2014-01-02 11:30:00,22.6,36.1,0.0
