date,elec1,elec2,gas
2014-01-01 00:30:00,9.47,1.2,0.0
2014-01-01 01:00:00,9.56,1.2,0.0
2014-01-01 01:30:00,9.34,1.2,0.0
2014-01-01 02:00:00,9.45,1.2,0.0
2014-01-01 02:30:00,9.6,1.4,0.0
2014-01-01 03:00:00,9.43,1.2,0.0
2014-01-01 03:30:00,9.54,1.4,0.0
2014-01-01 04:00:00,9.6,12.2,0.0
2014-01-01 04:30:00,9.16,9.0,0.0
2014-01-01 05:00:00,9.28,4.6,0.0
2014-01-01 05:30:00,10.77,4.8,238.27900000000002
2014-01-01 06:00:00,10.65,16.0,250.82
2014-01-01 06:30:00,10.46,6.0,225.738
2014-01-01 07:00:00,10.43,5.0,188.115
2014-01-01 07:30:00,10.11,12.6,166.168
2014-01-01 08:00:00,10.43,11.2,112.869
2014-01-01 08:30:00,9.09,4.8,109.734
2014-01-01 09:00:00,9.79,12.0,112.869
2014-01-01 09:30:00,9.61,12.2,163.033
2014-01-01 10:00:00,9.51,5.0,122.275
2014-01-01 10:30:00,9.07,11.0,112.869
2014-01-01 11:00:00,9.33,18.8,137.951
2014-01-01 11:30:00,9.74,4.8,144.221
2014-01-01 12:00:00,9.39,7.2,112.869
2014-01-01 12:30:00,9.75,22.0,112.869
2014-01-01 13:00:00,9.39,4.8,169.303
2014-01-01 13:30:00,9.29,4.8,109.734
2014-01-01 14:00:00,9.41,25.2,112.869
2014-01-01 14:30:00,8.99,4.8,137.951
2014-01-01 15:00:00,9.41,4.8,141.086
2014-01-01 15:30:00,9.06,23.8,112.869
2014-01-01 16:00:00,9.09,6.2,112.869
2014-01-01 16:30:00,10.41,5.0,137.951
2014-01-01 17:00:00,10.27,17.4,141.086
2014-01-01 17:30:00,10.22,11.8,112.869
2014-01-01 18:00:00,10.35,4.8,112.869
2014-01-01 18:30:00,10.03,4.8,109.734
2014-01-01 19:00:00,10.2,19.0,112.869
2014-01-01 19:30:00,9.69,6.8,112.869
2014-01-01 20:00:00,10.01,1.4,112.869
2014-01-01 20:30:00,9.56,1.2,28.217
2014-01-01 21:00:00,8.64,1.2,0.0
2014-01-01 21:30:00,8.91,1.2,0.0
2014-01-01 22:00:00,8.67,1.2,0.0
2014-01-01 22:30:00,8.62,1.2,0.0
2014-01-01 23:00:00,8.99,1.4,0.0
2014-01-01 23:30:00,8.8,1.2,0.0
2014-01-02 00:00:00,9.05,1.2,0.0
2014-01-02 00:30:00,9.01,1.4,0.0
2014-01-02 01:00:00,8.95,1.2,0.0
2014-01-02 01:30:00,8.84,1.2,0.0
2014-01-02 02:00:00,8.89,1.4,0.0
2014-01-02 02:30:00,9.32,1.2,0.0
2014-01-02 03:00:00,9.31,1.2,0.0
2014-01-02 03:30:00,9.0,1.4,0.0
2014-01-02 04:00:00,8.98,13.2,0.0
2014-01-02 04:30:00,9.35,8.8,0.0
2014-01-02 05:00:00,9.31,4.6,0.0
2014-01-02 05:30:00,10.22,4.8,235.143
2014-01-02 06:00:00,10.76,16.0,248.89
2014-01-02 06:30:00,10.98,7.6,224.00099999999998
2014-01-02 07:00:00,10.73,4.8,189.77900000000002
2014-01-02 07:30:00,10.57,10.4,152.445
2014-01-02 08:00:00,10.48,16.2,161.779
2014-01-02 08:30:00,9.94,4.8,118.223
2014-01-02 09:00:00,11.05,5.2,133.778
2014-01-02 09:30:00,11.09,26.0,133.778
2014-01-02 10:00:00,11.06,4.8,130.667
2014-01-02 10:30:00,9.46,6.2,127.556
2014-01-02 11:00:00,9.2,21.0,121.334
2014-01-02 11:30:00,9.25,11.4,130.667
2014-01-02 12:00:00,9.05,4.8,121.334
2014-01-02 12:30:00,9.1,20.6,127.556
2014-01-02 13:00:00,10.33,14.4,127.556
2014-01-02 13:30:00,10.46,4.8,121.334
